company,niche,city,monthly_leads,avg_ticket,no_show_rate,speed_to_lead_minutes,google_reviews,website_quality
Zenith Smile Studio,Dental,Miami,420,1600,27%,18,84,6.2
Peak Injury Law,Legal,Houston,310,9500,18%,22,61,5.9
NorthStar Roofing,Home Services,Dallas,520,8400,14%,31,97,6.8
Sculpt Med Aesthetics,Med Spa,Phoenix,390,2400,24%,16,72,7.0
Harbor Implant Center,Dental,San Diego,460,3800,21%,27,112,6.1
Paramount Family Law,Legal,Chicago,275,7200,15%,19,76,6.4
Rapid Restore Plumbing,Home Services,Atlanta,610,1100,19%,9,141,7.8
EverGlow Skin Clinic,Med Spa,Los Angeles,445,1900,26%,24,88,6.7
Prime Vision Eye Center,Healthcare,Tampa,330,2100,17%,12,124,7.4
Elevation Orthodontics,Dental,Seattle,370,4300,20%,26,93,6.0
Capital Business Law,Legal,Washington DC,290,8200,13%,15,109,7.1
Summit HVAC Pros,Home Services,Denver,540,1700,16%,11,134,7.6
Luma Cosmetic Institute,Med Spa,Las Vegas,480,2600,25%,21,67,6.3
Metro Oral Surgery,Dental,Boston,340,5200,18%,23,79,6.5
Crescent Accident Lawyers,Legal,Philadelphia,305,10100,16%,28,58,5.7
